NACA 	65-006
1.00    0.00000
0.95    0.00195
0.90    0.00510
0.85    0.00865
0.80    0.01233
0.75    0.01594
0.70    0.01935
0.65    0.02246
0.60    0.02518
0.55    0.02741
0.50    0.02900
0.45    0.02983
0.40    0.02998
0.35    0.02952
0.30    0.02852
0.25    0.02697
0.20    0.02482
0.15    0.02197
0.10    0.01824
0.075   0.01589
0.050   0.01310
0.025   0.00956
0.0125  0.00717
0.0075  0.00574
0.0050  0.00476
0.0000  0.00000
0.0050  -0.00476
0.0075  -0.00574
0.0125  -0.00717
0.025   -0.00956
0.050   -0.01310
0.075   -0.01589
0.10    -0.01824
0.15    -0.02197
0.20    -0.02482
0.25    -0.02697
0.30    -0.02852
0.35    -0.02952
0.40    -0.02998
0.45    -0.02983
0.50    -0.02900
0.55    -0.02741
0.60    -0.02518
0.65    -0.02246
0.70    -0.01935
0.75    -0.01594
0.80    -0.01233
0.85    -0.00865
0.90    -0.00510
0.95    -0.00195
1.00    -0.00000
