NACA	66-006
1.00    0.00000
0.95    0.00262
0.90    0.00665
0.85    0.01107
0.80    0.01543
0.75    0.01953
0.70    0.02316
0.65    0.02611
0.60    0.02815
0.55    0.02925
0.50    0.02985
0.45    0.03000
0.40    0.02971
0.35    0.02899
0.30    0.02782
0.25    0.02618
0.20    0.02401
0.15    0.02119
0.10    0.01752
0.075   0.01524
0.050   0.01257
0.025   0.00918
0.0125  0.00693
0.0075  0.00554
0.0050  0.00461
0.0000  0.00000
0.0050  -0.00461
0.0075  -0.00554
0.0125  -0.00693
0.025   -0.00918
0.050   -0.01257
0.075   -0.01524
0.10    -0.01752
0.15    -0.02119
0.20    -0.02401
0.25    -0.02618
0.30    -0.02782
0.35    -0.02899
0.40    -0.02971
0.45    -0.03000
0.50    -0.02985
0.55    -0.02925
0.60    -0.02815
0.65    -0.02611
0.70    -0.02316
0.75    -0.01953
0.80    -0.01543
0.85    -0.01107
0.90    -0.00665
0.95    -0.00262
1.00    -0.00000
